Gene,Function
KMT2A,Histone Lysine Methyltransferase
KMT2B,Histone Lysine Methyltransferase
KMT2C,Histone Lysine Methyltransferase
KMT2D,Histone Lysine Methyltransferase
KMT2E,Histone Lysine Methyltransferase
KMT5A,Histone Lysine Methyltransferase
KMT5B,Histone Lysine Methyltransferase
KMT5C,Histone Lysine Methyltransferase
EHMT1,Histone Lysine Methyltransferase
EHMT2,Histone Lysine Methyltransferase
EZH2,Histone Lysine Methyltransferase
SETD2,Histone Lysine Methyltransferase
PRMT1,Arginine Methyltransferase
PRMT2,Arginine Methyltransferase
PRMT3,Arginine Methyltransferase
CARM1,Arginine Methyltransferase
PRMT5,Arginine Methyltransferase
PRMT6,Arginine Methyltransferase
PRMT7,Arginine Methyltransferase
PRMT8,Arginine Methyltransferase
KDM1A,Lysine Demethylases
KDM1B,Lysine Demethylases
KDM2A,Lysine Demethylases
KDM2B,Lysine Demethylases
KDM3A,Lysine Demethylases
KDM3B,Lysine Demethylases
KDM4A,Lysine Demethylases
KDM4B,Lysine Demethylases
KDM4C,Lysine Demethylases
KDM4D,Lysine Demethylases
KDM4E,Lysine Demethylases
KDM5A,Lysine Demethylases
KDM5B,Lysine Demethylases
KDM5C,Lysine Demethylases
KDM5D,Lysine Demethylases
KDM6A,Lysine Demethylases
KDM6B,Lysine Demethylases
KDM7A,Lysine Demethylases
KDM8,Lysine Demethylases
JARID2,Lysine Demethylases
JMJD1C,Lysine Demethylases
JMJD6,Lysine Demethylases
JMJD7,Lysine Demethylases
JMJD4,Lysine Demethylases
JMJD8,Lysine Demethylases
KAT2A,Histone Acetyltransferases
KAT2B,Histone Acetyltransferases
KAT5,Histone Acetyltransferases
KAT6A,Histone Acetyltransferases
KAT6B,Histone Acetyltransferases
KAT7,Histone Acetyltransferases
KAT8,Histone Acetyltransferases
KAT14,Histone Acetyltransferases
EP300,Histone Acetyltransferases
CBP,Histone Acetyltransferases
HDAC1,Histone Deacetylases
HDAC9,Histone Deacetylases
HDAC2,Histone Deacetylases
HDAC3,Histone Deacetylases
HDAC6,Histone Deacetylases
HDAC4,Histone Deacetylases
HDAC8,Histone Deacetylases
HDAC5,Histone Deacetylases
HDAC7,Histone Deacetylases
HDAC10,Histone Deacetylases
HDAC11,Histone Deacetylases
